node:IPAddress:cpu,memory,io,tls,web,semaphore,sharedmemory
host01:10.20.30.40:98.45,99,32,90,120,200,99,90.44
host02:10.20.30.41:65.35,99,32,90,120,200,99,90.44
host03:10.20.30.42:98.23,99,32,90,120,200,99,90.43
host04:10.20.30.43:68.45,99,32,90,120,404,99,90.42


host05:10.20.30.44:78.55,99,32,90,120,200,99,90.44
host06:10.20.30.45:98.25,99,32,90,120,200,99,90.41
host07:10.20.30.45:98.45,99,32,90,120,400,99,80.44
host08:10.20.30.46:98.25,99,32,90,120,200,99,90.45


host09:10.20.30.47:88.45,99,32,90,120,500,99,80.44
host09:10.20.30.47:98.75,99,32,90,120,200,99,80.43
host10:10.20.30.48:98.45,99,32,90,120,200,99,90.44

host10:10.20.30.48:98.45,99,32,90,120,200,99,90.42
host11:10.20.30.49:98.45,99,32,90,120,200,99,50.44
host12:10.20.30.50:98.45,99,32,90,120,200,99,50.44
